Year,RCDTS,School Name,City,County,Title 1 Status,Student Attendance Rate,Student Mobility Rate,Student Chronic Truancy Rate,High School Dropout Rate - Total,School Type,Teacher Retention Rate
2020,050160210042010,Edgar A Poe Elem School,Arlington Heights,Cook,"Eligible, but Not a Participant in Title One Program",96.4,7.1,0.3,,ELEMENTARY,80.6
2020,050160210042011,J W Riley Elem School,Arlington Heights,Cook,"Eligible, but Not a Participant in Title One Program",97.3,8.4,0,,ELEMENTARY,85.5
2020,050160210042013,Booth Tarkington Elem School,Wheeling,Cook,Schoolwide Title One Program,96.6,13.6,0.3,,ELEMENTARY,93.8
2020,050160210042014,Mark Twain Elem School,Wheeling,Cook,Schoolwide Title One Program,96.5,9.1,2.4,,ELEMENTARY,83.5
2020,050160210042015,Walt Whitman Elem School,Wheeling,Cook,Schoolwide Title One Program,96.9,5,2.5,,ELEMENTARY,89.9
2020,050160230021002,MacArthur Middle School,Prospect Heights,Cook,Schoolwide Title One Program,94.8,2.4,0,,MIDDLE SCHL,91.9
2020,050160230022001,Dwight D Eisenhower Elem School,Prospect Heights,Cook,Schoolwide Title One Program,95.7,3.5,0,,ELEMENTARY,91.4
2020,050160230022004,Betsy Ross Elem School,Prospect Heights,Cook,Schoolwide Title One Program,96.6,2,0,,ELEMENTARY,85.2
2020,050160230022005,Anne Sullivan Elem School,Prospect Heights,Cook,Schoolwide Title One Program,96.5,2.4,0,,ELEMENTARY,90
2020,050160250021014,South Middle School,Arlington Heights,Cook,Targeted Assistance Title One Program,97.1,2,0.1,,MIDDLE SCHL,89.4
2020,050160250021015,Thomas Middle School,Arlington Heights,Cook,"Eligible, but Not a Participant in Title One Program",97.6,3.4,0.2,,MIDDLE SCHL,94.6
2020,050160250022002,Dryden Elem School,Arlington Heights,Cook,"Eligible, but Not a Participant in Title One Program",97,1.8,0,,ELEMENTARY,92.9
2020,050160250022004,Greenbrier Elem School,Arlington Heights,Cook,"Eligible, but Not a Participant in Title One Program",97.3,5.4,0,,ELEMENTARY,95.2
2020,050160250022005,Ivy Hill Elem School,Arlington Heights,Cook,"Eligible, but Not a Participant in Title One Program",96.9,18,0.2,,ELEMENTARY,90.8
2020,050160250022009,Olive-Mary Stitt School,Arlington Heights,Cook,"Eligible, but Not a Participant in Title One Program",97.2,2.2,0,,ELEMENTARY,93.2
2020,050160250022011,Patton Elem School,Arlington Heights,Cook,"Eligible, but Not a Participant in Title One Program",96.6,2.9,0.3,,ELEMENTARY,89.2
2020,050160250022016,Westgate Elem School,Arlington Heights,Cook,"Eligible, but Not a Participant in Title One Program",97.1,3.5,0.2,,ELEMENTARY,92.6
2020,050160250022018,Windsor Elementary School,Arlington Heights,Cook,Targeted Assistance Title One Program,97.3,2.3,0.5,,ELEMENTARY,93.1
2020,050160260021006,River Trails Middle School,Mount Prospect,Cook,"Eligible, but Not a Participant in Title One Program",97.1,1.8,2.4,,MIDDLE SCHL,90.8
2020,050160260022001,Euclid Elem School,Mount Prospect,Cook,Schoolwide Title One Program,96.3,3.2,3.5,,ELEMENTARY,83.7
2020,050160260022003,Indian Grove Elem School,Mount Prospect,Cook,"Eligible, but Not a Participant in Title One Program",96.7,3.7,0.6,,ELEMENTARY,86.6
2020,050160260023001,River Trails Early Learning Center at Parkview,Mount Prospect,Cook,"Eligible, but Not a Participant in Title One Program",,,,,PreK,100
2020,050160270021005,Wood Oaks Jr High School,Northbrook,Cook,Not a Participant in Title One Program,96.9,2,0.9,,MIDDLE SCHL,94.7
2020,050160270022002,Hickory Point Elem School,Northbrook,Cook,Not a Participant in Title One Program,94.5,1.8,2.6,,ELEMENTARY,96.7
2020,050160270022004,Shabonee School,Northbrook,Cook,Not a Participant in Title One Program,94.4,2.5,2,,ELEMENTARY,94.4
2020,050160280021004,Northbrook Junior High School,Northbrook,Cook,Targeted Assistance Title One Program,96.4,1.2,0,,MIDDLE SCHL,90.1
2020,050160280022002,Greenbriar Elem School,Northbrook,Cook,"Eligible, but Not a Participant in Title One Program",96.9,2.1,0,,ELEMENTARY,88.3
2020,050160280022003,Meadowbrook Elem School,Northbrook,Cook,Targeted Assistance Title One Program,96.5,3,0,,ELEMENTARY,94.9
2020,050160280022006,Westmoor Elem School,Northbrook,Cook,Targeted Assistance Title One Program,96.7,1.1,0,,ELEMENTARY,90
2020,050160290022001,Middlefork Primary School,Northfield,Cook,Targeted Assistance Title One Program,95.9,0.5,0,,ELEMENTARY,97.8
2020,050160290022002,Sunset Ridge Elem School,Northfield,Cook,"Eligible, but Not a Participant in Title One Program",93.5,1.1,0,,ELEMENTARY,91.7
2020,050160300021001,Maple School,Northbrook,Cook,Targeted Assistance Title One Program,97.4,2.7,0,,MIDDLE SCHL,92.4
2020,050160300022002,Willowbrook Elem School,Glenview,Cook,"Eligible, but Not a Participant in Title One Program",97.2,3.2,0,,ELEMENTARY,92.5
2020,050160300022003,Wescott Elementary School,Northbrook,Cook,Targeted Assistance Title One Program,97.1,1.9,0,,ELEMENTARY,92.8
2020,050160310021001,Field School,Northbrook,Cook,Targeted Assistance Title One Program,96.3,2.3,14.5,,MIDDLE SCHL,84.5
2020,050160310022002,Henry Winkelman Elem School,Glenview,Cook,Targeted Assistance Title One Program,94.7,5.5,1.9,,ELEMENTARY,75.2
2020,050160340041006,Attea Middle School,Glenview,Cook,"Eligible, but Not a Participant in Title One Program",97.2,2.9,0.2,,MIDDLE SCHL,90.4
2020,050160340041007,Springman Middle School,Glenview,Cook,Targeted Assistance Title One Program,97.1,2.5,0,,MIDDLE SCHL,93
2020,050160340042001,Glen Grove Elem School,Glenview,Cook,Targeted Assistance Title One Program,97.3,3.2,0,,ELEMENTARY,91.9
2020,050160340042002,Henking Elem School,Glenview,Cook,Targeted Assistance Title One Program,97.1,3.1,0.3,,ELEMENTARY,84.6
2020,050160340042003,Hoffman Elem School,Glenview,Cook,Targeted Assistance Title One Program,97.3,3.9,0.4,,ELEMENTARY,83.3
2020,050160340042004,Lyon Elem School,Glenview,Cook,"Eligible, but Not a Participant in Title One Program",97.3,5.1,0,,ELEMENTARY,89.6
2020,050160340042005,Pleasant Ridge Elem School,Glenview,Cook,"Eligible, but Not a Participant in Title One Program",97.2,2.2,0,,ELEMENTARY,83.8
2020,050160340042008,Westbrook Elementary School,Glenview,Cook,Targeted Assistance Title One Program,96.7,3.8,0,,ELEMENTARY,87.6
2020,050160350021001,Central School,Glencoe,Cook,"Eligible, but Not a Participant in Title One Program",96,2.5,0,,MIDDLE SCHL,91.5
2020,050160350022001,West School,Glencoe,Cook,"Eligible, but Not a Participant in Title One Program",96.6,1.7,0,,ELEMENTARY,88.7
2020,050160350022002,South Elem School,Glencoe,Cook,Targeted Assistance Title One Program,96.3,1.4,0,,ELEMENTARY,92
2020,050160360021005,Carleton W Washburne School,Winnetka,Cook,Not a Participant in Title One Program,97,1.6,0.3,,MIDDLE SCHL,92.7
2020,050160360022001,Crow Island Elem School,Winnetka,Cook,Not a Participant in Title One Program,97.5,1,1.4,,ELEMENTARY,89.2
2020,050160360022002,Greeley Elem School,Winnetka,Cook,Not a Participant in Title One Program,97,2.2,1.6,,ELEMENTARY,88.4
2020,050160360022003,Hubbard Woods Elem School,Winnetka,Cook,Not a Participant in Title One Program,96.6,1.9,0,,ELEMENTARY,93
2020,050160360022004,The Skokie School,Winnetka,Cook,Not a Participant in Title One Program,96.8,1.8,2.5,,ELEMENTARY,87.7
2020,050160370021001,Marie Murphy School,Wilmette,Cook,"Eligible, but Not a Participant in Title One Program",97.3,2.6,0,,MIDDLE SCHL,92.3
2020,050160370022003,Avoca West Elem School,Glenview,Cook,Targeted Assistance Title One Program,96.8,2.4,0,,ELEMENTARY,92.2
2020,050160380022001,The Joseph Sears School,Kenilworth,Cook,Not a Participant in Title One Program,96.7,1.1,0,,ELEMENTARY,92.1
2020,050160390021008,Wilmette Junior High School,Wilmette,Cook,"Eligible, but Not a Participant in Title One Program",96.6,1.8,0.1,,MIDDLE SCHL,88
2020,050160390022002,Central Elem School,Wilmette,Cook,"Eligible, but Not a Participant in Title One Program",97.2,1.8,0,,ELEMENTARY,84.9
2020,050160390022003,Harper Elem School,Wilmette,Cook,"Eligible, but Not a Participant in Title One Program",97.1,1.7,0,,ELEMENTARY,96.2
2020,050160390022005,McKenzie Elem School,Wilmette,Cook,"Eligible, but Not a Participant in Title One Program",97.5,1.6,0,,ELEMENTARY,83.9
2020,050160390022006,Romona Elem School,Wilmette,Cook,Targeted Assistance Title One Program,97.3,2.3,0.2,,ELEMENTARY,87.5
2020,050160390022007,Highcrest Middle School,Wilmette,Cook,"Eligible, but Not a Participant in Title One Program",97.2,0.8,0.2,,ELEMENTARY,91.9
2020,050160540041001,Jane Addams JHS,Schaumburg,Cook,"Eligible, but Not a Participant in Title One Program",96.7,3.8,0.4,,MIDDLE SCHL,92.5
2020,050160540041012,Robert Frost JHS,Schaumburg,Cook,"Eligible, but Not a Participant in Title One Program",96.9,3.9,0.7,,MIDDLE SCHL,92.2
2020,050160540041018,Dwight D Eisenhower JHS,Hoffman Estates,Cook,"Eligible, but Not a Participant in Title One Program",96.7,6.2,2,,MIDDLE SCHL,89.3
2020,050160540041019,Margaret Mead JHS,Elk Grove Village,Cook,"Eligible, but Not a Participant in Title One Program",97.2,3.6,1,,MIDDLE SCHL,90.5
2020,050160540041020,Helen Keller JHS,Schaumburg,Cook,"Eligible, but Not a Participant in Title One Program",96.6,4.9,0.8,,MIDDLE SCHL,91.4
2020,050160540042002,Buzz Aldrin Elem School,Schaumburg,Cook,"Eligible, but Not a Participant in Title One Program",96.3,8,1.1,,ELEMENTARY,95.1
2020,050160540042003,Neil Armstrong Elem School,Hoffman Estates,Cook,Targeted Assistance Title One Program,96.8,10.7,1.4,,ELEMENTARY,89
2020,050160540042005,Campanelli Elem School,Schaumburg,Cook,"Eligible, but Not a Participant in Title One Program",97.2,4.9,0,,ELEMENTARY,87.2
2020,050160540042006,Winston Churchill Elem School,Schaumburg,Cook,"Eligible, but Not a Participant in Title One Program",96.5,10.4,0.5,,ELEMENTARY,89.7
2020,050160540042007,Michael Collins Elem School,Schaumburg,Cook,"Eligible, but Not a Participant in Title One Program",97.2,5.1,0,,ELEMENTARY,94.2
2020,050160540042008,Everett Dirksen Elementary Sch,Schaumburg,Cook,"Eligible, but Not a Participant in Title One Program",96.6,4.3,0,,ELEMENTARY,89.8
2020,050160540042009,Thomas Dooley Elem School,Schaumburg,Cook,"Eligible, but Not a Participant in Title One Program",97.3,6.9,0.2,,ELEMENTARY,90.3
2020,050160540042010,Fairview Elem School,Hoffman Estates,Cook,"Eligible, but Not a Participant in Title One Program",96.8,10.8,0.4,,ELEMENTARY,85.7
2020,050160540042011,Anne Fox Elem School,Hanover Park,Cook,Targeted Assistance Title One Program,96.5,12,0.8,,ELEMENTARY,84.4
2020,050160540042013,Hanover Highlands Elem School,Hanover Park,Cook,"Eligible, but Not a Participant in Title One Program",96.6,5.9,1.7,,ELEMENTARY,88.6
2020,050160540042015,Nathan Hale Elem School,Schaumburg,Cook,"Eligible, but Not a Participant in Title One Program",96.6,4.6,0.7,,ELEMENTARY,87.9
2020,050160540042018,Lakeview Elem School,Hoffman Estates,Cook,Targeted Assistance Title One Program,95.9,7.5,3.2,,ELEMENTARY,80
2020,050160540042019,MacArthur International Spanish Academy,Hoffman Estates,Cook,"Eligible, but Not a Participant in Title One Program",97.4,1.4,0,,ELEMENTARY,77.2
2020,050160540042022,John Muir Literacy Academy,Hoffman Estates,Cook,Targeted Assistance Title One Program,96.3,13.6,2,,ELEMENTARY,79.5
2020,050160540042023,Adolph Link Elem School,Elk Grove Village,Cook,"Eligible, but Not a Participant in Title One Program",97.1,6.7,0.6,,ELEMENTARY,89.8
2020,050160540042026,Albert Einstein Elem School,Hanover Park,Cook,Targeted Assistance Title One Program,96.5,11.7,2,,ELEMENTARY,82.7
2020,050160540042027,Hoover Math and Science Academy,Schaumburg,Cook,"Eligible, but Not a Participant in Title One Program",96.9,6.7,0.5,,ELEMENTARY,88.1
2020,050160540042028,Adlai Stevenson Elem School,Elk Grove Village,Cook,Targeted Assistance Title One Program,96.2,8.3,1.9,,ELEMENTARY,87.2
2020,050160540042029,Frederick Nerge Elem School,Roselle,Cook,"Eligible, but Not a Participant in Title One Program",96.7,5,1.5,,ELEMENTARY,90.6
2020,050160540042030,Enders-Salk Elem School,Schaumburg,Cook,Targeted Assistance Title One Program,96.3,6.8,1,,ELEMENTARY,85.6
2020,050160540042031,Elizabeth Blackwell Elem School,Schaumburg,Cook,"Eligible, but Not a Participant in Title One Program",96.6,9.5,1.3,,ELEMENTARY,92.1
2020,050160540042032,Lincoln Prairie School,Hoffman Estates,Cook,"Eligible, but Not a Participant in Title One Program",97.3,1.5,0.3,,ELEMENTARY,94.3
2020,050160540043111,The District 54 Early Learning Center,Schaumburg,Cook,"Eligible, but Not a Participant in Title One Program",,,,,PreK,83.3
2020,050160570021004,Lincoln Middle School,Mt Prospect,Cook,Targeted Assistance Title One Program,96.8,1.4,0,,MIDDLE SCHL,86.8
2020,050160570022002,Fairview Elem School,Mt Prospect,Cook,Targeted Assistance Title One Program,96.8,1.1,0,,ELEMENTARY,89
2020,050160570022005,Lions Park Elem School,Mt Prospect,Cook,Targeted Assistance Title One Program,97.2,0.8,0,,ELEMENTARY,84.6
2020,050160570022008,Westbrook Early Learning Cntr,Mt Prospect,Cook,"Eligible, but Not a Participant in Title One Program",96.4,3.4,0,,ELEMENTARY,82.4
2020,050160590041010,Grove Jr High School,Elk Grove Village,Cook,"Eligible, but Not a Participant in Title One Program",96.3,4,3.8,,MIDDLE SCHL,91.3
2020,050160590041012,Holmes Jr High School,Mount Prospect,Cook,"Eligible, but Not a Participant in Title One Program",96.1,4.9,3.9,,MIDDLE SCHL,90.9
2020,050160590041016,Friendship Jr High School,Des Plaines,Cook,"Eligible, but Not a Participant in Title One Program",96.2,4.3,4.9,,MIDDLE SCHL,90.8
2020,050160590042001,Brentwood Elem School,Des Plaines,Cook,Schoolwide Title One Program,95.8,9.7,4,,ELEMENTARY,91.4
2020,050160590042002,Adm Richard E Byrd Elem School,Elk Grove Village,Cook,Schoolwide Title One Program,96.9,3.4,1.3,,ELEMENTARY,88.2
2020,050160590042003,Clearmont Elem School,Elk Grove Village,Cook,Schoolwide Title One Program,96,3.9,2.7,,ELEMENTARY,89.5
2020,050160590042006,Devonshire School,Des Plaines,Cook,Schoolwide Title One Program,96.6,5.8,3.4,,ELEMENTARY,89
2020,050160590042008,Forest View Elem School,Mount Prospect,Cook,Schoolwide Title One Program,96.5,15.1,4.7,,ELEMENTARY,89.5
2020,050160590042009,Robert Frost Elem School,Mount Prospect,Cook,Schoolwide Title One Program,96,7.8,4.6,,ELEMENTARY,88.9
2020,050160590042014,John Jay Elem School,Mount Prospect,Cook,Schoolwide Title One Program,95.5,10.8,1.8,,ELEMENTARY,77.1
2020,050160590042016,Juliette Low Elem School,Arlington Heights,Cook,Schoolwide Title One Program,96.5,10.4,4.9,,ELEMENTARY,85.7
2020,050160590042018,Rupley Elem School,Elk Grove Village,Cook,Schoolwide Title One Program,95.2,10.1,8,,ELEMENTARY,83.2
2020,050160590042019,Salt Creek Elem School,Elk Grove Village,Cook,Schoolwide Title One Program,96.4,5.8,2.9,,ELEMENTARY,84.8
2020,050160590042020,Ridge Family Center for Learning,Elk Grove Village,Cook,"Eligible, but Not a Participant in Title One Program",96.6,4.3,4.4,,ELEMENTARY,88.7
2020,050160620041001,Algonquin Middle School,Des Plaines,Cook,Schoolwide Title One Program,94.6,4.2,19.8,,MIDDLE SCHL,88.6
2020,050160620041003,Chippewa Middle School,Des Plaines,Cook,Schoolwide Title One Program,93.5,6.6,24.6,,MIDDLE SCHL,88.2
2020,050160620042001,Iroquois Community School,Des Plaines,Cook,"Eligible, but Not a Participant in Title One Program",95.9,2.3,6,,ELEMENTARY,94.2
2020,050160620042002,Central Elem School,Des Plaines,Cook,Schoolwide Title One Program,96.9,4.8,0,,ELEMENTARY,91.8
2020,050160620042004,Cumberland Elem School,Des Plaines,Cook,Schoolwide Title One Program,95.1,5.1,4.1,,ELEMENTARY,83.5
2020,050160620042005,Forest Elem School,Des Plaines,Cook,Schoolwide Title One Program,95.5,3,6.8,,ELEMENTARY,83.6
2020,050160620042008,North Elementary School,Des Plaines,Cook,Schoolwide Title One Program,93.5,11.2,22.2,,ELEMENTARY,93.9
2020,050160620042009,Orchard Place Elem School,Des Plaines,Cook,Schoolwide Title One Program,94.1,7.5,6.6,,ELEMENTARY,90
2020,050160620042010,Plainfield Elem School,Des Plaines,Cook,Schoolwide Title One Program,94,6.6,9,,ELEMENTARY,80.8
2020,050160620042011,South Elem School,Des Plaines,Cook,Schoolwide Title One Program,94.1,3.4,5.7,,ELEMENTARY,88.5
2020,050160620042012,Terrace Elem School,Des Plaines,Cook,Schoolwide Title One Program,95.8,3.1,7.5,,ELEMENTARY,84.9
2020,050160630021003,Gemini Middle School,Niles,Cook,Schoolwide Title One Program,92.1,4.7,5.4,,MIDDLE SCHL,84.5
2020,050160630022006,V H Nelson Elem School,Niles,Cook,Schoolwide Title One Program,89.3,7.5,4.5,,ELEMENTARY,81.7
2020,050160630022009,Mark Twain Elem School,Niles,Cook,Schoolwide Title One Program,89,15.5,5.3,,ELEMENTARY,69.7
2020,050160630022010,Washington Elem School,Glenview,Cook,Schoolwide Title One Program,90.3,9.5,3.6,,ELEMENTARY,66.7
2020,050160630022011,Melzer School,Morton Grove,Cook,"Eligible, but Not a Participant in Title One Program",91,3.8,5.4,,ELEMENTARY,63.2
2020,050160630022012,Apollo Elem School,Des Plaines,Cook,Schoolwide Title One Program,88.5,10.3,3.5,,ELEMENTARY,77.2
2020,050160640041006,Emerson Middle School,Niles,Cook,Targeted Assistance Title One Program,97.1,1.9,1.6,,MIDDLE SCHL,93.6
2020,050160640041007,Lincoln Middle School,Park Ridge,Cook,"Eligible, but Not a Participant in Title One Program",97.4,1.4,0.8,,MIDDLE SCHL,91.5
2020,050160640042001,George B Carpenter Elem School,Park Ridge,Cook,"Eligible, but Not a Participant in Title One Program",97.8,2,1,,ELEMENTARY,92.1
2020,050160640042004,Eugene Field Elem School,Park Ridge,Cook,Targeted Assistance Title One Program,97.2,1.6,0.9,,ELEMENTARY,86.4
2020,050160640042005,Franklin Elementary School,Park Ridge,Cook,Targeted Assistance Title One Program,97.5,2.3,1.5,,ELEMENTARY,88.3
2020,050160640042011,Theodore Roosevelt Elem School,Park Ridge,Cook,"Eligible, but Not a Participant in Title One Program",97.3,1.7,0.3,,ELEMENTARY,90.8
2020,050160640042012,George Washington Elem School,Park Ridge,Cook,"Eligible, but Not a Participant in Title One Program",97.5,2.4,0.5,,ELEMENTARY,85.7
2020,050160640043001,Jefferson School,Niles,Cook,Targeted Assistance Title One Program,,,,,PreK,84
2020,050160650041002,Chute Middle School,Evanston,Cook,Schoolwide Title One Program,94.6,6.3,17.7,,MIDDLE SCHL,91.9
2020,050160650041007,Haven Middle School,Evanston,Cook,"Eligible, but Not a Participant in Title One Program",94.2,3.6,22.8,,MIDDLE SCHL,90.9
2020,050160650041012,Nichols Middle School,Evanston,Cook,"Eligible, but Not a Participant in Title One Program",96.5,2.4,4.4,,MIDDLE SCHL,91.7
2020,050160650042004,Dawes Elementary School,Evanston,Cook,Schoolwide Title One Program,96.4,6,7.1,,ELEMENTARY,88
2020,050160650042005,Dewey Elem School,Evanston,Cook,"Eligible, but Not a Participant in Title One Program",96.1,6.7,6.6,,ELEMENTARY,85.6
2020,050160650042009,Lincoln Elem School,Evanston,Cook,"Eligible, but Not a Participant in Title One Program",96.5,7.4,3.4,,ELEMENTARY,86.9
2020,050160650042010,Lincolnwood Elem School,Evanston,Cook,"Eligible, but Not a Participant in Title One Program",96.6,4.2,9.6,,ELEMENTARY,87.1
2020,050160650042014,Oakton Elem School,Evanston,Cook,Schoolwide Title One Program,95.6,9.1,12.9,,ELEMENTARY,86.3
2020,050160650042015,Orrington Elem School,Evanston,Cook,"Eligible, but Not a Participant in Title One Program",96.4,6.3,7,,ELEMENTARY,90.4
2020,050160650042019,Walker Elem School,Evanston,Cook,Schoolwide Title One Program,96.6,5.8,6,,ELEMENTARY,88.9
2020,050160650042020,Washington Elem School,Evanston,Cook,Schoolwide Title One Program,96.2,3.3,10.2,,ELEMENTARY,90
2020,050160650042021,Willard Elem School,Evanston,Cook,"Eligible, but Not a Participant in Title One Program",96.7,2.6,6.6,,ELEMENTARY,92.4
2020,050160650042022,Dr ML King Jr Literary & Fine Arts Sch,Evanston,Cook,Schoolwide Title One Program,96.4,5.9,8,,ELEMENTARY,90.8
2020,050160650042023,Kingsley Elementary School,Evanston,Cook,"Eligible, but Not a Participant in Title One Program",96.6,3.6,5.4,,ELEMENTARY,95.5
2020,050160650042024,Dr Bessie Rhodes Sch Global Studies,Skokie,Cook,Schoolwide Title One Program,96.3,9.4,9.5,,ELEMENTARY,80.7
2020,050160650043020,Joseph E Hill Education Center,Evanston,Cook,"Eligible, but Not a Participant in Title One Program",,,,,PreK,86.8
2020,050160670021002,Golf Middle School,Morton Grove,Cook,Targeted Assistance Title One Program,93.6,3.8,2.7,,MIDDLE SCHL,90.6
2020,050160670022003,Hynes Elem School,Morton Grove,Cook,Targeted Assistance Title One Program,95.8,5.4,1.6,,ELEMENTARY,87.7
2020,050160680021002,Old Orchard Jr High School,Skokie,Cook,Schoolwide Title One Program,96.6,6.3,0.9,,MIDDLE SCHL,92.7
2020,050160680022001,Devonshire Elem School,Skokie,Cook,Schoolwide Title One Program,96.7,9.7,1.1,,ELEMENTARY,84.4
2020,050160680022004,Jane Stenson School,Skokie,Cook,Schoolwide Title One Program,97.2,5.7,0.3,,ELEMENTARY,88.9
2020,050160680022005,Highland Elementary School,Skokie,Cook,Schoolwide Title One Program,97,8.4,0.3,,ELEMENTARY,88.8
2020,050160690021003,Lincoln Jr High School,Skokie,Cook,Schoolwide Title One Program,97,5.1,0.2,,MIDDLE SCHL,81.3
2020,050160690022001,Thomas Edison Elem School,Morton Grove,Cook,Schoolwide Title One Program,96.8,5.7,0.4,,ELEMENTARY,75.9
2020,050160690022004,Madison Elem School,Skokie,Cook,Schoolwide Title One Program,96.3,7.7,0,,ELEMENTARY,76.6
2020,050160700022003,Park View Elem School,Morton Grove,Cook,Schoolwide Title One Program,97,4.3,2.8,,ELEMENTARY,89.2
2020,050160710022001,Clarence E Culver School,Niles,Cook,Schoolwide Title One Program,97.5,2.2,0.4,,ELEMENTARY,92.3
2020,050160720022002,Fairview South Elementary School,Skokie,Cook,Targeted Assistance Title One Program,93.8,2.2,0.2,,ELEMENTARY,94.7
2020,050160730022001,East Prairie Elem School,Skokie,Cook,Targeted Assistance Title One Program,97.4,4.8,0.7,,ELEMENTARY,95.3
2020,050160735021003,Oliver McCracken Middle School,Skokie,Cook,Targeted Assistance Title One Program,97.1,4,3.9,,MIDDLE SCHL,96.2
2020,050160735022002,John Middleton Elem School,Skokie,Cook,Targeted Assistance Title One Program,95.7,3.9,8.6,,ELEMENTARY,88.8
2020,050160735022003,Elizabeth Meyer School,Skokie,Cook,"Eligible, but Not a Participant in Title One Program",,8.2,,,ELEMENTARY,77.1
2020,050160740021001,Lincoln Hall Middle School,Lincolnwood,Cook,Targeted Assistance Title One Program,96.6,2.9,0,,MIDDLE SCHL,92
2020,050160740022003,Rutledge Hall Elem School,Lincolnwood,Cook,Targeted Assistance Title One Program,96.7,3.8,0.2,,ELEMENTARY,94.1
2020,050160740022004,Todd Hall Elem School,Lincolnwood,Cook,Targeted Assistance Title One Program,96.3,5.1,0.4,,ELEMENTARY,89.9
2020,050162020170001,Evanston Twp High School,Evanston,Cook,Schoolwide Title One Program,93,7.4,28.6,2,HIGH SCHOOL,92.7
